Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
3 Bed House with En Suite at Karen,"karen, Karen",3,3,Beautiful modern three bedroom house,"KSh 200,000/ month"
5 Bed House with En Suite at Garden Estate,"Garden estate, Garden Estate, Roysambu",5,6,4bedroom +Dsq & outside kitchen,"KSh 300,000/ month"
5 Bed House with En Suite at Wangige,"Kibichiku, Wangige, Kitisuru, Westlands",5,,Serene 5 bedroom furnished house to let,"KSh 200,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Charming furnished 2-Bedroom Cottage for Rent i...,"KSh 130,000/ month"
10 Bed House with En Suite at Runda,"02, Runda, Westlands",10,10,Luxurious 12-Bedroom House for Rent in Runda,"KSh 1,290,000/ month"
5 Bed House with En Suite in Lavington,Lavington,5,5,"Exceptional 5-bedroom ensuite villa, epitomizin...","KSh 350,000/ month"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4,4,4-Bedroom Unfurnished Cottage for Rent – Spring...,"KSh 230,000/ month"
4 Bed House with En Suite in Lavington,Lavington,4,4,🏡 Experience a Home That Redefines Comfort and...,"KSh 270,000/ month"
4 Bed Villa with En Suite at Lavington,"lavington, Lavington",4,5,Delightful Home! Lavington Four Bedroom Townhou...,"KSh 350,000/ month"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5,5,🏡 Luxurious Five-Bedroom House for Rent in Kit...,"KSh 450,000/ month"
4 Bed Villa with En Suite at Kitisuru,"Kitisuru, Westlands",4,5,Luxury Family Living! Kitisuru Four Bedroom Tow...,"KSh 320,000/ month"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",5,5,"Breathtaking 5-bedroom Stand-Alone home, set on...","KSh 570,000/ month"
5 Bed Townhouse with Walk In Closet at Parklands,"Parklands, Westlands",5,3,4 bedrooms townhouse for rent in Parklands,"KSh 165,000/ month"
4 Bed House with En Suite at Ngong,"Kibiku, Ngong",4,5,4 Bedrooms with DSQ To Let in Ngong,"KSh 150,000/ month"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,4,4,Homely Four Bedroom Townhouse for rent in Gated...,"KSh 150,000/ month"
5 Bed House with En Suite at Cherry Court,"Cherry court, Athi River",5,6,Spacious 5 bedroom family home in serene enviro...,"KSh 95,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,3,Stunning four-bedroom fully furnished cottage l...,"KSh 500,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,BEAUTIFUL 4 BEDROOM VILLA WITH DSQ TO LET IN RU...,"KSh 580,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious 5 Bedroom Villa to let in Runda withi...,"KSh 450,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,An Elegant 4 Bedroom Townhouse for rent in Rund...,"KSh 270,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Luxurious Five-Bedroom Stand Alone House for Re...,"KSh 480,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Beautiful 2 bedroom guest-wing available to let...,"KSh 150,000/ month"
5 Bed Villa with En Suite in Karen,Karen,5,6,A Magnificent 5 Bedroom For Rent In Karen,"KSh 590,000/ month"
6 Bed House with En Suite in Runda,"Runda, Westlands",6,5,Luxurious 6 Bedroom Home in the Sought-After Ru...,"KSh 500,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,An Exceptional 5-Bedroom Home To Let in Runda w...,"KSh 400,000/ month"
4 Bed House with En Suite at Off Runda Grove,"2, Off Runda Grove, Runda, Westlands",4,5,An Elegant 4 Bedroom double storied house for r...,"KSh 300,000/ month"
5 Bed House with En Suite at Off Gitanga Road,"Off Gitanga Road, Lavington",5,6,Lavington : 5 Bedroom Triple Storey Townhouse I...,"KSh 350,000/ month"
4 Bed House with En Suite at Edenville Phase 2,"Edenville Phase 2, Kiambu Road",4,3,4 Bedroom House Plus DSQ To Let,"KSh 150,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Elegant Five-Bedroom Stand Alone House with Swi...,"KSh 580,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Elegant Four-Bedroom House for Rent in Runda –...,"KSh 350,000/ month"
2 Bed House with En Suite in Runda,"Runda, Westlands",2,2,Comfy & Stylish 2-Bedroom Guest-wing for Rent i...,"KSh 200,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Beautiful four-bedroom house for rent in the se...,"KSh 450,000/ month"
5 Bed House with En Suite in Runda,"Runda, Westlands",5,5,Masterpiece 5 Bedroom Villa with 2 DSQs for ren...,"KSh 570,000/ month"
3 Bed House with En Suite at Rosslyn,"rosslyn, Rosslyn, Westlands",3,4,High-End! Rosslyn 3 Bedroom family house in Ros...,"KSh 180,000/ month"
4 Bed House with En Suite in Runda,"Runda, Westlands",4,4,Luxury Modern Homes In a Gated Community 4 and...,"KSh 400,000/ month"
4 Bed House in Muthaiga,Muthaiga,4,,Stunning 4 Bedroom House to in Muthaiga.,"KSh 517,000/ month"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,4,4,Four Bedroom Villa for Rent in Kiambu Road,"KSh 260,000/ month"
