Title,Location,No of Bedrooms,No of Bathrooms,Description,Price
3 Bed House with En Suite at Karen,"Karen, Karen",0,0,Beautiful modern three bedroom house,200000.0
5 Bed House with En Suite at Garden Estate,"Garden Estate, Garden Estate, Roysambu",0,0,4bedroom +Dsq & outside kitchen,300000.0
5 Bed House with En Suite at Wangige,"Kibichiku, Wangige, Kitisuru, Westlands",0,0,Serene 5 bedroom furnished house to let,200000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Charming furnished 2-Bedroom Cottage for Rent i...,130000.0
10 Bed House with En Suite at Runda,"02, Runda, Westlands",0,0,Luxurious 12-Bedroom House for Rent in Runda,1290000.0
5 Bed House with En Suite in Lavington,Lavington,0,0,"Exceptional 5-bedroom ensuite villa, epitomizin...",350000.0
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,4-Bedroom Unfurnished Cottage for Rent – Spring...,230000.0
4 Bed House with En Suite in Lavington,Lavington,0,0,🏡 Experience a Home That Redefines Comfort and...,270000.0
4 Bed Villa with En Suite at Lavington,"Lavington, Lavington",0,0,Delightful Home! Lavington Four Bedroom Townhou...,350000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,🏡 Luxurious Five-Bedroom House for Rent in Kit...,450000.0
4 Bed Villa with En Suite at Kitisuru,"Kitisuru, Westlands",0,0,Luxury Family Living! Kitisuru Four Bedroom Tow...,320000.0
5 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,"Breathtaking 5-bedroom Stand-Alone home, set on...",570000.0
5 Bed Townhouse with Walk In Closet at Parklands,"Parklands, Westlands",0,0,4 bedrooms townhouse for rent in Parklands,165000.0
4 Bed House with En Suite at Ngong,"Kibiku, Ngong",0,0,4 Bedrooms with DSQ To Let in Ngong,150000.0
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,0,0,Homely Four Bedroom Townhouse for rent in Gated...,150000.0
5 Bed House with En Suite at Cherry Court,"Cherry Court, Athi River",0,0,Spacious 5 bedroom family home in serene enviro...,95000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Stunning four-bedroom fully furnished cottage l...,500000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,BEAUTIFUL 4 BEDROOM VILLA WITH DSQ TO LET IN RU...,580000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 5 Bedroom Villa to let in Runda withi...,450000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,An Elegant 4 Bedroom Townhouse for rent in Rund...,270000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious Five-Bedroom Stand Alone House for Re...,480000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Beautiful 2 bedroom guest-wing available to let...,150000.0
5 Bed Villa with En Suite in Karen,Karen,0,0,A Magnificent 5 Bedroom For Rent In Karen,590000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 6 Bedroom Home in the Sought-After Ru...,500000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,An Exceptional 5-Bedroom Home To Let in Runda w...,400000.0
4 Bed House with En Suite at Off Runda Grove,"2, Off Runda Grove, Runda, Westlands",0,0,An Elegant 4 Bedroom double storied house for r...,300000.0
5 Bed House with En Suite at Off Gitanga Road,"Off Gitanga Road, Lavington",0,0,Lavington : 5 Bedroom Triple Storey Townhouse I...,350000.0
4 Bed House with En Suite at Edenville Phase 2,"Edenville Phase 2, Kiambu Road",0,0,4 Bedroom House Plus DSQ To Let,150000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Five-Bedroom Stand Alone House with Swi...,580000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Four-Bedroom House for Rent in Runda –...,350000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Comfy & Stylish 2-Bedroom Guest-wing for Rent i...,200000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Beautiful four-bedroom house for rent in the se...,450000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Masterpiece 5 Bedroom Villa with 2 DSQs for ren...,570000.0
3 Bed House with En Suite at Rosslyn,"Rosslyn, Rosslyn, Westlands",0,0,High-End! Rosslyn 3 Bedroom family house in Ros...,180000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxury Modern Homes In a Gated Community 4 and...,400000.0
4 Bed House in Muthaiga,Muthaiga,0,0,Stunning 4 Bedroom House to in Muthaiga.,517000.0
4 Bed House with En Suite in Kiambu Road,Kiambu Road,0,0,Four Bedroom Villa for Rent in Kiambu Road,260000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,This Stunning 5-Bedroom Ambassadorial House wit...,550000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Charming 5 Bedroom Family Home in a sought-afte...,350000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 6-Bedroom Mansion for Rent in Runda.,400000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Grand meticulously finished 4 bedroom house in...,580000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 4 Bedroom Townhouse with 2 DSQ for Rent...,390000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Stunning 5-bedroom home located in the serene a...,400000.0
6 Bed House with En Suite in Runda,"Runda, Westlands",0,0,"World-class sanctuary—a stunning, ambassadorial...",950000.0
2 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxury 2-Bedroom Furnished Guest Wing for Rent...,180000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Stunning fully furnished 5-bedroom villa in the...,750000.0
2 Bed House in Gigiri,"Gigiri, Westlands",0,0,2 Bedroom Cottage for Rent in Gigiri.,350000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,🌟 Exquisite 4 Bedroom Family Home in the Heart...,580000.0
4 Bed Villa with En Suite in Karen,Karen,0,0,STATE OF ART MODERN VILLA IN A GATED COMMUNITY,550000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxury 4-Bedroom House for Rent at Nascent Prop...,500000.0
5 Bed Villa with En Suite at Nyali Mombasa,"Nyali Mombasa, Nyali Area, Nyali",0,0,5 bedroom massionate  for let located Nyali mom...,150000.0
5 Bed Townhouse with En Suite in Lavington,Lavington,0,0,5 bedroom townhouse plus dsq located in Lavingt...,400000.0
4 Bed Townhouse with En Suite at Nyali,"Nyali, Nyali Area",0,0,4 bedroom massionate for let located Nyali Momb...,300000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant Four-Bedroom Furnished Cottage for Rent...,450000.0
4 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Elegant 4-Bedroom House for Rent in Runda,390000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Exquisite 5-Bedroom House in a Secure Gated Com...,450000.0
5 Bed House with En Suite in Muthaiga,Muthaiga,0,0,Luxurious 5-Bedroom House for Rent in Muthaiga,250000.0
4 Bed Townhouse with En Suite in Lavington,"Lavington Nairobi, Lavington",0,0,A 4bdrm townhouse to let in lavington.,260000.0
4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Comfy & Stylish 4-Bedroom House for Rent in Kit...,370000.0
4 Bed Townhouse with En Suite in Spring Valley,"Spring Valley Nairobi, Spring Valley, Westlands",0,0,A 4bdrm townhouse to let in spring valley.,275000.0
3 Bed House with En Suite in Gigiri,"Gigiri, Westlands",0,0,Charming Three-Bedroom Cottage for Rent in Gigi...,323100.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Stunning 5-Bedroom Bungalow for Rent in Spring...,520000.0
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,0,0,AN EXCLUSIVE FOUR BEDROOM VILLA IN A COMMUNAL L...,130000.0
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Exquisite 5-Bedroom House for Rent in Kitisuru,720000.0
5 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",0,0,Spacious 5-Bedroom House for Rent in Spring Val...,350000.0
5 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",0,0,Elegant 5-Bedroom House for Rent in Rosslyn,400000.0
5 Bed House with En Suite in Kyuna,"Kyuna, Westlands",0,0,Stunning 5-Bedroom House for Rent in Kyuna,350000.0
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",0,0,Luxury Five-Bedroom House for Rent in Lower Kab...,1099500.0
2 Bed House with En Suite in Karen,Karen,0,0,2 BR Rental Houses in Karen,85000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Unwind at this Stunning 4-Bedroom Villa in Kiti...,395000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious Five-Bedroom House for Rent in Runda,580000.0
3 Bed House at Peponi,"Peponi, Westlands Area, Westlands",0,0,"3 br  bungalow, Peponi",200000.0
5 Bed House with En Suite in Runda,"Runda, Westlands",0,0,Luxurious 5-Bedroom House for Rent in Runda,500000.0
4 Bed House with En Suite at Off Runda Grove,"4, Off Runda Grove, Runda, Westlands",0,0,Charming 4- Bedroom stand alone cottage for ren...,300000.0
3 Bed Villa with En Suite at Off Ridgeways Rd,"6, Off Ridgeways Rd, Runda, Westlands",0,0,Exclusive 3-Bedroom cottage for rent in Ridgewa...,400000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,Modern 4 bedrooms all Ensuite townhouse located...,350000.0
5 Bed Townhouse with Staff Quarters in Lavington,Lavington,0,0,Lavington  a modern 5 bedrooms plus dsq all ens...,450000.0
5 Bed Townhouse with En Suite in Kyuna,"Kyuna, Westlands",0,0,Rio villas.,450000.0
4 Bed House with En Suite in Nyari,"Nyari, Westlands",0,0,An elegant House to let,400000.0
2 Bed House with En Suite at Glory Road,"Glory Road, Runda, Westlands",0,0,"Furnished 2 Bedrooms House in Runda Westlands,...",195000.0
6 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",0,0,New modern home with a swimming pool,600000.0
3 Bed House in Langata,Langata,0,0,3 bedroom maisonette in Langata,50000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,Excellent 4 bedroom house all ensuite with 2bed...,350000.0
4 Bed Townhouse with En Suite at Kileleshwa,"20 Kileleshwa, Kileleshwa",0,0,Kileleshwa 4 bedroom townhouse to let,250000.0
5 Bed Townhouse with En Suite at Lavington,"21 Lavington, Lavington",0,0,Lavington 5 bedroom townhouse to let,180000.0
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",0,0,A FOUR BEDROOMS WITH AN DSQ IN RUNDA FOR RENTAL,300000.0
4 Bed Townhouse with En Suite at Karen,Karen,0,0,4 bedroom plus DSQ,300000.0
5 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"House for sale in Runda, 5 bedroom",80000000.0
5 Bed Townhouse with En Suite at Kileleshwa,"Kileleshwa, Kileleshwa",0,0,"House to rent in Kileleshwa, 5 bedrooms",220000.0
5 Bed Villa with En Suite at Runda,"Runda, Westlands",0,0,"House to rent in Runda, 5 bedroom all ensuite",550000.0
4 Bed House with En Suite at Runda,"Runda, Westlands",0,0,"House to rent in Runda, 4 bedroom fully furnish...",4000.0
3 Bed House with En Suite at Old Runda,"Old Runda, Runda, Westlands",0,0,"House to rent in runda, 3 bedrooms",150000.0
8 Bed Villa with En Suite at Runda,"Runda, Westlands",0,0,"House for rent in Runda, 8 bedrooms Furnished",600000.0
4 Bed House in Karen,Karen,0,0,Luxury 4-Bedroom All Ensuite House for Rent in...,370000.0
4 Bed Villa with En Suite in Kitisuru,"Kitisuru, Westlands",0,0,Comfy and Elegant Four-Bedroom Villa for Rent i...,500000.0
4 Bed Townhouse with En Suite in Lavington,Lavington,0,0,4-Bedroom Corner Home for Rent in Lavington– Ks...,350000.0
4 Bed House with En Suite in Loresho,"Loresho, Westlands",0,0,Charming 4-Bedroom Cottage for Rent in Loresho,290000.0
